,name_vacancy,salary_min,salary_max,salary_currency,url_vacancy,source
123,Водитель-курьер на личном автомобиле,60 000,110 000,руб.,https://hh.ru/vacancy/42231340?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
124,Водитель-курьер на маршруте,,110 000,руб.,https://hh.ru/vacancy/47156124?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
125,Водитель-курьер,,110 000,руб.,https://hh.ru/vacancy/44265019?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
126,Водитель-курьер на автомобиле компании(м.Варшавская),,120 000,руб.,https://hh.ru/vacancy/46607440?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
127,Водитель-курьер на автомобиле компании(ул.Рябиновая),,120 000,руб.,https://hh.ru/vacancy/46479740?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
128,Пеший курьер,45 000,65 000,руб.,https://hh.ru/vacancy/46888517?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
129,Грузчик-курьер,50 000,65 000,руб.,https://hh.ru/vacancy/41611351?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
130,Курьер в Яндекс,47 000,102 000,руб.,https://hh.ru/vacancy/47123835?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
131,Водитель-курьер на личном автомобиле (ул. Рябиновая),47 000,120 000,руб.,https://hh.ru/vacancy/46479023?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
132,Водитель-курьер на автомобиле компании,,120 000,руб.,https://hh.ru/vacancy/46025032?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
133,"Курьер пеший( без продаж, метро Тушинская)",35 000,35 000,руб.,https://hh.ru/vacancy/44867551?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
134,Водитель-курьер (выходного дня),,35 000,руб.,https://hh.ru/vacancy/45263689?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
135,Водитель-курьер,90 000,110 000,руб.,https://hh.ru/vacancy/46891649?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
136,Водитель-курьер на автомобиле компании (м.Марьина Роща),90 000,120 000,руб.,https://hh.ru/vacancy/46607328?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
137,Водитель-курьер на личном автомобиле(м.Дубровка),90 000,120 000,руб.,https://hh.ru/vacancy/46483137?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
138,Курьер,25 000,35 000,руб.,https://hh.ru/vacancy/47294605?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
139,Водитель-курьер на личном автомобиле,90 000,100 000,руб.,https://hh.ru/vacancy/47287014?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
140,Курьер по району (свободный график),90 000,60 000,руб.,https://hh.ru/vacancy/44621349?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
141,Водитель-курьер с личным легковым автомобилем,90 000,150 000,руб.,https://hh.ru/vacancy/47284063?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
142,Водитель-курьер(доставка документов),60 000,75 000,руб.,https://hh.ru/vacancy/47291018?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
143,Курьер,,75 000,руб.,https://hh.ru/vacancy/45688302?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
144,Водитель-курьер с личным автомобилем,80 000,120 000,руб.,https://hh.ru/vacancy/46184414?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
145,Водитель-Курьер на личном автомобиле по доставке заказов СДЭК,80 000,100 000,руб.,https://hh.ru/vacancy/47278527?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
146,Водитель-курьер с личным автомобилем,80 000,100 000,руб.,https://hh.ru/vacancy/47279803?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
147,Курьер - водитель на личном автомобиле,60 000,90 000,руб.,https://hh.ru/vacancy/47304650?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
148,Водитель-курьер,95 000,105 000,руб.,https://hh.ru/vacancy/47230074?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
149,Курьер (доставка документов),35 000,55 000,руб.,https://hh.ru/vacancy/46389321?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
150,Водитель-курьер на личном автомобиле,,55 000,руб.,https://hh.ru/vacancy/41737702?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
151,Курьер,40 000,85 000,руб.,https://hh.ru/vacancy/47306566?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
152,Пеший курьер/курьер на электровелосипед в Dominos Pizza (м. Преображенская площадь),40 000,75 000,руб.,https://hh.ru/vacancy/47272365?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
153,Пеший курьер,36 000,39 000,руб.,https://hh.ru/vacancy/47307324?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
154,Пеший курьер,53 000,53 000,руб.,https://hh.ru/vacancy/46773464?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
